rank,city,state,population,2000-2013 growth
166,Escondido,CA,148738,10.7%
167,McKinney,TX,148559,165.3%
168,Kansas City,KS,148483,1.1%
169,Joliet,IL,147806,36.5%
170,Sunnyvale,CA,147559,11.9%
171,Torrance,CA,147478,6.6%
172,Bridgeport,CT,147216,5.4%
173,Lakewood,CO,147214,1.9%
174,Hollywood,FL,146526,4.8%
175,Paterson,NJ,145948,-2.2%
176,Naperville,IL,144864,12.0%
177,Syracuse,NY,144669,-0.9%
178,Mesquite,TX,143484,14.7%
179,Dayton,OH,143355,-13.5%
180,Savannah,GA,142772,7.5%
181,Clarksville,TN,142357,36.9%
182,Orange,CA,139969,7.7%
183,Pasadena,CA,139731,3.8%
184,Fullerton,CA,138981,9.8%
185,Killeen,TX,137147,52.1%
186,Frisco,TX,136791,287.7%
187,Hampton,VA,136699,-6.6%
188,McAllen,TX,136639,27.6%
189,Warren,MI,134873,-2.3%
190,Bellevue,WA,133992,19.1%
191,West Valley City,UT,133579,22.2%
192,Columbia,SC,133358,11.7%
193,Olathe,KS,131885,40.4%
194,Sterling Heights,MI,131224,5.2%
195,New Haven,CT,130660,5.5%
196,Miramar,FL,130288,74.7%
197,Waco,TX,129030,12.5%
198,Thousand Oaks,CA,128731,9.5%
199,Cedar Rapids,IA,128429,5.4%
200,Charleston,SC,127999,29.2%
201,Visalia,CA,127763,33.6%
202,Topeka,KS,127679,3.4%
203,Elizabeth,NJ,127558,5.5%
204,Gainesville,FL,127488,12.8%
205,Thornton,CO,127359,52.9%
206,Roseville,CA,127035,56.2%
207,Carrollton,TX,126700,14.9%
208,Coral Springs,FL,126604,5.7%
209,Stamford,CT,126456,7.6%
210,Simi Valley,CA,126181,12.6%
211,Concord,CA,125880,2.9%
212,Hartford,CT,125017,0.6%
213,Kent,WA,124435,54.3%
214,Lafayette,LA,124276,11.0%
215,Midland,TX,123933,30.4%
216,Surprise,AZ,123546,281.9%
217,Denton,TX,123099,47.1%
218,Victorville,CA,121096,87.6%
219,Evansville,IN,120310,-0.8%
220,Santa Clara,CA,120245,17.4%
221,Abilene,TX,120099,3.6%
