rank,city,state,population,2000-2013 growth
731,Grand Island,NE,50550,16.0%
732,Palm Desert,CA,50508,13.2%
733,Huntersville,NC,50458,92.9%
734,Tigard,OR,50444,17.8%
735,Lenexa,KS,50344,24.6%
736,Saginaw,MI,50303,-18.2%
737,Kentwood,MI,50233,10.5%
738,Doral,FL,50213,137.6%
739,Apple Valley,MN,50201,9.2%
740,Grapevine,TX,50195,17.6%
741,Aliso Viejo,CA,50175,25.4%
742,Sammamish,WA,50169,44.1%
743,Casa Grande,AZ,50111,86.0%
744,Pinellas Park,FL,49998,5.9%
745,Troy,NY,49974,1.5%
746,West Sacramento,CA,49891,55.6%
747,Burien,WA,49858,56.7%
748,Commerce City,CO,49799,135.4%
749,Monroe,LA,49761,-6.1%
750,Cerritos,CA,49707,-3.6%
751,Downers Grove,IL,49670,0.0%
752,Coral Gables,FL,49631,16.1%
753,Wilson,NC,49628,10.1%
754,Niagara Falls,NY,49468,-10.8%
755,Poway,CA,49417,2.4%
756,Edina,MN,49376,4.1%
757,Cuyahoga Falls,OH,49267,-0.2%
758,Rancho Sta. Margarita,CA,49228,4.6%
759,Harrisburg,PA,49188,0.6%
760,Huntington,WV,49177,-5.0%
761,La Mirada,CA,49133,4.6%
762,Cypress,CA,49087,5.3%
763,Caldwell,ID,48957,77.1%
764,Logan,UT,48913,14.5%
765,Galveston,TX,48733,-15.2%
766,Sheboygan,WI,48725,-3.9%
767,Middletown,OH,48630,-5.7%
768,Murray,UT,48612,6.6%
769,Roswell,NM,48611,7.5%
770,Parker,CO,48608,96.4%
771,Bedford,TX,48592,2.9%
772,East Lansing,MI,48554,4.2%
773,Methuen,MA,48514,10.3%
774,Covina,CA,48508,3.3%
775,Alexandria,LA,48426,4.1%
776,Olympia,WA,48338,12.1%
777,Euclid,OH,48139,-8.4%
778,Mishawaka,IN,47989,2.0%
779,Salina,KS,47846,4.5%
780,Azusa,CA,47842,6.7%
781,Newark,OH,47777,3.1%
782,Chesterfield,MO,47749,1.9%
783,Leesburg,VA,47673,66.0%
784,Dunwoody,GA,47591,5.8%
785,Hattiesburg,MS,47556,3.1%
786,Roseville,MI,47555,-1.0%
787,Bonita Springs,FL,47547,43.8%
788,Portage,MI,47523,5.7%
789,St. Louis Park,MN,47411,7.3%
790,Collierville,TN,47333,43.4%
791,Middletown,CT,47333,3.6%
792,Stillwater,OK,47186,20.1%
793,East Providence,RI,47149,-3.3%
794,Lawrence,IN,47135,20.5%
795,Wauwatosa,WI,47134,0.0%
796,Mentor,OH,46979,-6.6%
797,Ceres,CA,46714,34.0%
798,Cedar Hill,TX,46663,42.4%
799,Mansfield,OH,46454,-10.1%
800,Binghamton,NY,46444,-1.7%
801,Coeur d'Alene,ID,46402,32.8%
802,San Luis Obispo,CA,46377,4.4%
803,Minot,ND,46321,26.6%
804,Palm Springs,CA,46281,7.7%
805,Pine Bluff,AR,46094,-16.2%
806,Texas City,TX,46081,10.3%
807,Summerville,SC,46074,62.9%
808,Twin Falls,ID,45981,31.5%
809,Jeffersonville,IN,45929,53.3%
810,San Jacinto,CA,45851,91.8%
811,Madison,AL,45799,53.7%
812,Altoona,PA,45796,-7.3%
813,Columbus,IN,45775,16.4%
814,Beavercreek,OH,45712,19.0%
815,Apopka,FL,45587,63.9%
816,Elmhurst,IL,45556,5.7%
817,Maricopa,AZ,45508,2503.4%
818,Farmington,NM,45426,18.1%
819,Glenview,IL,45417,5.2%
820,Cleveland Heights,OH,45394,-10.3%
821,Draper,UT,45285,77.4%
822,Lincoln,CA,45237,285.2%
823,Sierra Vista,AZ,45129,19.3%
824,Lacey,WA,44919,41.7%
825,Biloxi,MS,44820,-11.5%
826,Strongsville,OH,44730,1.9%
827,Barnstable Town,MA,44641,-7.1%
828,Wylie,TX,44575,185.2%
829,Sayreville,NJ,44412,9.6%
830,Kannapolis,NC,44359,18.6%
831,Charlottesville,VA,44349,10.5%
832,Littleton,CO,44275,9.4%
833,Titusville,FL,44206,7.8%
834,Hackensack,NJ,44113,2.9%
835,Newark,CA,44096,3.3%
836,Pittsfield,MA,44057,-3.6%
837,York,PA,43935,6.4%
838,Lombard,IL,43907,2.9%
839,Attleboro,MA,43886,4.6%
840,DeKalb,IL,43849,11.8%
841,Blacksburg,VA,43609,9.4%
842,Dublin,OH,43607,37.6%
843,Haltom City,TX,43580,11.4%
844,Lompoc,CA,43509,5.5%
845,El Centro,CA,43363,13.7%
846,Danville,CA,43341,3.7%
847,Jefferson City,MO,43330,6.7%
848,Cutler Bay,FL,43328,42.9%
849,Oakland Park,FL,43286,2.7%
850,North Miami Beach,FL,43250,3.6%
851,Freeport,NY,43167,-1.4%
852,Moline,IL,43116,-1.9%
853,Coachella,CA,43092,88.4%
854,Fort Pierce,FL,43074,6.9%
855,Smyrna,TN,43060,54.9%
856,Bountiful,UT,43023,3.9%
857,Fond du Lac,WI,42970,1.7%
858,Everett,MA,42935,12.1%
859,Danville,VA,42907,-11.0%
860,Keller,TX,42907,53.3%
861,Belleville,IL,42895,1.2%
862,Bell Gardens,CA,42889,-2.7%
863,Cleveland,TN,42774,14.1%
864,North Lauderdale,FL,42757,10.8%
865,Fairfield,OH,42635,1.2%
866,Salem,MA,42544,5.1%
867,Rancho Palos Verdes,CA,42448,2.9%
868,San Bruno,CA,42443,5.6%
869,Concord,NH,42419,4.1%
870,Burlington,VT,42284,6.1%
871,Apex,NC,42214,98.8%
872,Midland,MI,42181,0.9%
873,Altamonte Springs,FL,42150,2.0%
874,Hutchinson,KS,41889,0.1%
875,Buffalo Grove,IL,41778,-3.4%
876,Urbandale,IA,41776,41.5%
877,State College,PA,41757,8.7%
878,Urbana,IL,41752,10.3%
879,Plainfield,IL,41734,203.6%
880,Manassas,VA,41705,19.5%
881,Bartlett,IL,41679,13.1%
882,Kearny,NJ,41664,2.8%
883,Oro Valley,AZ,41627,27.0%
884,Findlay,OH,41512,5.8%
885,Rohnert Park,CA,41398,0.0%
887,Westfield,MA,41301,3.0%
886,Linden,NJ,41301,4.7%
888,Sumter,SC,41190,1.3%
889,Wilkes-Barre,PA,41108,-4.3%
890,Woonsocket,RI,41026,-5.2%
891,Leominster,MA,41002,-1.1%
892,Shelton,CT,40999,7.3%
893,Brea,CA,40963,15.2%
894,Covington,KY,40956,-4.7%
895,Rockwall,TX,40922,117.2%
896,Meridian,MS,40921,-0.9%
897,Riverton,UT,40921,61.6%
898,St. Cloud,FL,40918,86.2%
899,Quincy,IL,40915,0.5%
900,Morgan Hill,CA,40836,19.5%
901,Warren,OH,40768,-15.2%
902,Edmonds,WA,40727,2.9%
903,Burleson,TX,40714,85.3%
904,Beverly,MA,40664,2.0%
905,Mankato,MN,40641,24.7%
906,Hagerstown,MD,40612,10.4%
907,Prescott,AZ,40590,18.1%
908,Campbell,CA,40584,4.2%
909,Cedar Falls,IA,40566,12.0%
910,Beaumont,CA,40481,254.5%
911,La Puente,CA,40435,-1.6%
912,Crystal Lake,IL,40388,5.3%
913,Fitchburg,MA,40383,3.5%
914,Carol Stream,IL,40379,-0.2%
915,Hickory,NC,40361,7.0%
916,Streamwood,IL,40351,10.1%
917,Norwich,CT,40347,11.6%
918,Coppell,TX,40342,10.3%
919,San Gabriel,CA,40275,0.9%
920,Holyoke,MA,40249,0.9%
921,Bentonville,AR,40167,97.7%
922,Florence,AL,40059,10.2%
923,Peachtree Corners,GA,40059,7.3%
924,Brentwood,TN,40021,51.9%
925,Bozeman,MT,39860,41.9%
926,New Berlin,WI,39834,3.6%
927,Goose Creek,SC,39823,26.1%
928,Huntsville,TX,39795,13.2%
929,Prescott Valley,AZ,39791,62.9%
930,Maplewood,MN,39765,12.3%
931,Romeoville,IL,39650,79.5%
932,Duncanville,TX,39605,9.7%
933,Atlantic City,NJ,39551,-2.2%
934,Clovis,NM,39508,21.3%
935,The Colony,TX,39458,45.7%
936,Culver City,CA,39428,1.3%
937,Marlborough,MA,39414,7.6%
938,Hilton Head Island,SC,39412,16.0%
939,Moorhead,MN,39398,21.3%
940,Calexico,CA,39389,44.0%
941,Bullhead City,AZ,39383,15.9%
942,Germantown,TN,39375,4.1%
943,La Quinta,CA,39331,59.9%
944,Lancaster,OH,39325,10.7%
945,Wausau,WI,39309,1.7%
946,Sherman,TX,39296,11.6%
947,Ocoee,FL,39172,57.9%
948,Shakopee,MN,39167,85.7%
949,Woburn,MA,39083,4.4%
950,Bremerton,WA,39056,4.9%
951,Rock Island,IL,38877,-1.9%
952,Muskogee,OK,38863,-0.7%
953,Cape Girardeau,MO,38816,9.4%
954,Annapolis,MD,38722,7.6%
955,Greenacres,FL,38696,35.5%
956,Ormond Beach,FL,38661,5.8%
957,Hallandale Beach,FL,38632,12.4%
958,Stanton,CA,38623,2.8%
959,Puyallup,WA,38609,11.8%
960,Pacifica,CA,38606,0.5%
961,Hanover Park,IL,38510,0.6%
962,Hurst,TX,38448,5.8%
963,Lima,OH,38355,-8.1%
964,Marana,AZ,38290,166.2%
965,Carpentersville,IL,38241,22.8%
966,Oakley,CA,38194,47.7%
967,Huber Heights,OH,38142,-0.2%
968,Lancaster,TX,38071,46.4%
969,Montclair,CA,38027,12.1%
970,Wheeling,IL,38015,4.8%
971,Brookfield,WI,37999,-1.9%
972,Park Ridge,IL,37839,0.1%
973,Florence,SC,37792,19.8%
974,Roy,UT,37733,13.3%
975,Winter Garden,FL,37711,142.5%
976,Chelsea,MA,37670,7.3%
977,Valley Stream,NY,37659,3.6%
978,Spartanburg,SC,37647,-6.2%
979,Lake Oswego,OR,37610,5.3%
980,Friendswood,TX,37587,28.6%
981,Westerville,OH,37530,5.7%
982,Northglenn,CO,37499,15.5%
983,Phenix City,AL,37498,31.9%
984,Grove City,OH,37490,35.6%
985,Texarkana,TX,37442,7.4%
986,Addison,IL,37385,2.6%
987,Dover,DE,37366,16.0%
988,Lincoln Park,MI,37313,-6.7%
989,Calumet City,IL,37240,-4.5%
990,Muskegon,MI,37213,-7.1%
991,Aventura,FL,37199,47.2%
992,Martinez,CA,37165,3.4%
993,Greenfield,WI,37159,4.8%
994,Apache Junction,AZ,37130,15.7%
995,Monrovia,CA,37101,0.2%
996,Weslaco,TX,37093,28.8%
997,Keizer,OR,37064,14.4%
998,Spanish Fork,UT,36956,78.1%
999,Beloit,WI,36888,2.9%
1000,Panama City,FL,36877,0.1%
